fight_id,event_id,referee,f_1,f_2,winner,num_rounds,title_fight,weight_class,weight_class_rank,gender,result,result_details,finish_round,finish_time,fight_url
298,37,"John McCarthy",1610,2592,1610,5,T,Welterweight,9,M,KO/TKO,"Slam to   On Ground",2,1:27,http://ufcstats.com/fight-details/57f4aac17f067c11
299,37,"Mario Yamasaki",3088,3935,3088,3,F,Heavyweight,12,M,KO/TKO,"Punches to Head From Back Control",2,4:02,http://ufcstats.com/fight-details/7c76b3c48a5583df
300,37,"John McCarthy",732,3056,732,5,T,Heavyweight,12,M,KO/TKO,"Punches to Head On Ground",3,3:22,http://ufcstats.com/fight-details/bce4808806f88c99
301,38,"Larry Landless",1668,3082,1668,3,F,Middleweight,10,M,Submission,"Guillotine Choke From Bottom Guard",2,1:14,http://ufcstats.com/fight-details/1f299942446461e9
302,38,"Mason White",588,423,588,3,F,Welterweight,9,M,Decision,Unanimous,3,5:00,http://ufcstats.com/fight-details/8762b96aaefb03af
303,38,"John McCarthy",2968,3455,2968,3,F,"Light Heavyweight",11,M,Decision,Unanimous,3,5:00,http://ufcstats.com/fight-details/f67fa758cc79cd65
304,38,"Mason White",3310,84,3310,3,F,Middleweight,10,M,KO/TKO,"Punch to Head At Distance",2,2:01,http://ufcstats.com/fight-details/17ba2950b7f6d64a
305,38,"Larry Landless",2060,3572,2060,3,F,"Light Heavyweight",11,M,Decision,Unanimous,3,5:00,http://ufcstats.com/fight-details/0fe4e788b16c03cd
306,38,"John McCarthy",495,2360,495,5,T,Middleweight,10,M,KO/TKO,"Punch to Head At Distance",2,0:44,http://ufcstats.com/fight-details/cfa9bc77c803956e
307,38,"Larry Landless",3088,2443,3088,3,F,Heavyweight,12,M,KO/TKO,"Punches to Head On Ground",3,3:00,http://ufcstats.com/fight-details/0ff019f37961b954
308,38,"John McCarthy",2927,2806,2927,5,T,Lightweight,8,M,Decision,Majority,5,5:00,http://ufcstats.com/fight-details/e1bc211f43378ee7
309,39,"Mason White",3337,2551,3337,3,F,Welterweight,9,M,Decision,Unanimous,3,5:00,http://ufcstats.com/fight-details/87f39e0d82349c3b
310,39,"Larry Landless",3319,951,3319,3,F,Lightweight,8,M,Submission,"Triangle Choke From Bottom Guard",1,2:58,http://ufcstats.com/fight-details/ef83377d584ec055
311,39,"John McCarthy",2403,3935,2403,3,F,Heavyweight,12,M,Submission,"Other - Lock From Bottom Guard
      Shoulder Lock",1,0:46,http://ufcstats.com/fight-details/7468f870b08aaccc
312,39,"Mason White",3622,3413,3622,3,F,"Light Heavyweight",11,M,"TKO - Doctor's Stoppage","Facial Cuts",1,2:06,http://ufcstats.com/fight-details/1c0f5152b0bbef05
313,39,"Larry Landless",2075,2381,2075,3,F,Middleweight,10,M,KO/TKO,"Punches to Head From Mount",1,3:09,http://ufcstats.com/fight-details/3c2ac653409cf5f2
314,39,"John McCarthy",1610,3180,1610,5,T,Welterweight,9,M,KO/TKO,"Punches to Head From Mount",4,3:01,http://ufcstats.com/fight-details/e7833d5728f3ebef
315,39,"Larry Landless",3056,165,3056,3,F,Heavyweight,12,M,KO/TKO,"Punch to Head At Distance",3,1:45,http://ufcstats.com/fight-details/efc865fce64b5848
316,39,"John McCarthy",250,732,250,5,T,Heavyweight,12,M,KO/TKO,"Punches to Head From Half Guard",2,4:35,http://ufcstats.com/fight-details/38dbb6f2e1456acd
317,40,"John McCarthy",1988,3035,1988,3,F,Welterweight,9,M,Decision,Unanimous,3,5:00,http://ufcstats.com/fight-details/5550e3d9ff8b965c
318,40,"Mason White",3183,3310,3183,3,F,Middleweight,10,M,KO/TKO,"Punches to Head From Side Control",3,2:27,http://ufcstats.com/fight-details/b82abffcf66db401
319,40,"Larry Landless",3748,982,3748,3,F,Lightweight,8,M,Decision,Unanimous,3,5:00,http://ufcstats.com/fight-details/1228c4297882e8ba
320,40,"John McCarthy",254,3572,254,3,F,Middleweight,10,M,KO/TKO,"Punches to Head From Half Guard",1,2:59,http://ufcstats.com/fight-details/56812137775844c8
321,40,"Larry Landless",2806,745,2806,3,F,Lightweight,8,M,KO/TKO,"Punches to Head From Mount",2,3:23,http://ufcstats.com/fight-details/92de601366ced6dc
322,40,"John McCarthy",3088,1898,3088,3,F,Heavyweight,12,M,KO/TKO,"Punches to Head From Mount",2,3:25,http://ufcstats.com/fight-details/18273af728dda0c8
323,40,"John McCarthy",495,2075,495,5,T,Middleweight,10,M,Submission,"Guillotine Choke After Drop to Guard",3,1:33,http://ufcstats.com/fight-details/188537d906b30a7c
324,41,"Cecil Peoples",982,2871,982,3,F,Lightweight,8,M,KO/TKO,"to    
      Shoulder Injury",1,1:19,http://ufcstats.com/fight-details/5637c7b3e4131941
325,41,"Kipp Kollar",1176,3150,1176,3,F,Middleweight,10,M,KO/TKO,"Punches to Head From Mount",2,3:34,http://ufcstats.com/fight-details/0e30b22cd0987640
326,41,"John McCarthy",1988,311,1988,3,F,Welterweight,9,M,KO/TKO,"Punch to Head At Distance",2,0:27,http://ufcstats.com/fight-details/37ae54e5a84fd646
327,41,"Kipp Kollar",3504,2063,3504,3,F,Welterweight,9,M,Submission,"Armbar From Bottom Guard",1,2:25,http://ufcstats.com/fight-details/3c27780140809908
328,41,"John McCarthy",2944,3320,2944,3,F,Welterweight,9,M,Decision,Unanimous,3,5:00,http://ufcstats.com/fight-details/255da7afa89eb0e5
329,41,"John McCarthy",2060,292,2060,3,F,"Light Heavyweight",11,M,Decision,Unanimous,3,5:00,http://ufcstats.com/fight-details/2d1c4027b8e50a0d
330,42,"Larry Landless",3622,1467,3622,3,F,"Light Heavyweight",11,M,Decision,Unanimous,3,5:00,http://ufcstats.com/fight-details/b5c4fbd6e1d94594
331,42,"John McCarthy",3455,3413,3455,3,F,"Light Heavyweight",11,M,Decision,Unanimous,3,5:00,http://ufcstats.com/fight-details/1531cb3152157ada
332,42,"Larry Landless",2383,4056,2383,3,F,"Light Heavyweight",11,M,Decision,Unanimous,3,5:00,http://ufcstats.com/fight-details/90b36806779330b9
333,42,"John McCarthy",3566,2999,3566,3,F,Lightweight,8,M,Submission,"Rear Naked Choke",2,1:38,http://ufcstats.com/fight-details/fb93d1cafcc6b455
334,42,"Larry Landless",3904,1668,3904,3,F,Middleweight,10,M,KO/TKO,"Punch to Head At Distance",1,0:10,http://ufcstats.com/fight-details/38d8b19a1ef5942a
335,42,"John McCarthy",1160,2403,1160,3,F,Heavyweight,12,M,KO/TKO,"to    
      Fatigue",1,4:35,http://ufcstats.com/fight-details/2a2f50039ac636d0
336,42,"John McCarthy",1610,2592,1610,5,T,Welterweight,9,M,KO/TKO,"Punches to Head From Side Control",4,3:37,http://ufcstats.com/fight-details/0f6dd5d9a96ceb9d
337,43,"Larry Landless",3337,2944,3337,3,F,Welterweight,9,M,"TKO - Doctor's Stoppage","Facial Cuts",1,4:16,http://ufcstats.com/fight-details/9e62f31318d21a32
338,43,"Kipp Kollar",2075,3183,2075,3,F,Middleweight,10,M,Decision,Unanimous,3,5:00,http://ufcstats.com/fight-details/e7183e758f6b8bda
339,43,"Larry Landless",254,2360,254,3,F,Middleweight,10,M,KO/TKO,"Punches to Head At Distance",1,0:18,http://ufcstats.com/fight-details/20a6710c50698166
340,43,"John McCarthy",2306,3056,2306,3,F,Heavyweight,12,M,KO/TKO,"to    
      Corner Stoppage",1,5:00,http://ufcstats.com/fight-details/56ba0c15cf501669
341,43,"Larry Landless",3748,3659,3748,3,F,Lightweight,8,M,Decision,Unanimous,3,5:00,http://ufcstats.com/fight-details/826b03504b9bad4e
342,43,"John McCarthy",2806,3319,2806,3,F,Lightweight,8,M,Decision,Unanimous,3,5:00,http://ufcstats.com/fight-details/b0ed7f6450ad33c5
343,43,"Kipp Kollar",3592,711,3592,3,F,Heavyweight,12,M,KO/TKO,"to    
      Corner Stoppage",2,1:43,http://ufcstats.com/fight-details/ffe4379d6bd1e82b
344,43,"John McCarthy",3088,732,3088,5,T,Heavyweight,12,M,KO/TKO,"Elbows to Head From Guard
      Submission to Strikes",5,3:04,http://ufcstats.com/fight-details/e06ff3d3f1c0ab69
345,44,"Nelson Hamilton",2383,3904,2383,3,F,Middleweight,10,M,Submission,"Rear Naked Choke",2,4:50,http://ufcstats.com/fight-details/e66eebeff23ceb1e
346,44,"John McCarthy",2275,3958,2275,3,F,Heavyweight,12,M,KO/TKO,"Punches to Head On Ground
      Submission to Strikes",1,4:10,http://ufcstats.com/fight-details/754882d95491d287
347,44,"Larry Landless",165,1160,165,3,F,Heavyweight,12,M,KO/TKO,"Punches to Head At Distance",1,1:18,http://ufcstats.com/fight-details/9d9c2c8802d21887
348,44,"Nelson Hamilton",1988,1249,1988,3,F,Welterweight,9,M,KO/TKO,"Punch to Head At Distance",1,1:29,http://ufcstats.com/fight-details/68b141785f76575b
349,44,"Larry Landless",2592,3504,2592,3,F,Welterweight,9,M,Submission,"Kimura From North South",1,1:45,http://ufcstats.com/fight-details/497a87188392e057
350,44,"John McCarthy",1610,588,1610,5,T,Welterweight,9,M,"TKO - Doctor's Stoppage","Facial Cut",1,5:00,http://ufcstats.com/fight-details/b0bb09e4ca8343af
351,44,"Larry Landless",2060,3455,2060,3,F,"Light Heavyweight",11,M,KO/TKO,"Kick to Head At Distance",1,2:55,http://ufcstats.com/fight-details/9a0865000a3d642e
352,44,"John McCarthy",2700,3332,2700,5,T,"Light Heavyweight",11,M,KO/TKO,"to    
      Corner Stoppage",3,5:00,http://ufcstats.com/fight-details/9e6f956caa7b549b
353,45,"Larry Landless",982,657,982,3,F,Lightweight,8,M,Submission,"Rear Naked Choke",3,4:07,http://ufcstats.com/fight-details/0dade757305afebd
354,45,"John McCarthy",2306,802,2306,3,F,Heavyweight,12,M,KO/TKO,"Punches to Head On Ground",1,4:49,http://ufcstats.com/fight-details/62ed2b178310306e
355,45,"Larry Landless",3659,3319,3659,3,F,Lightweight,8,M,Decision,Split,3,5:00,http://ufcstats.com/fight-details/6a0c5b9079a4128e
356,45,"Larry Landless",2275,3056,2275,3,F,Heavyweight,12,M,Decision,Unanimous,3,5:00,http://ufcstats.com/fight-details/558ef0822c8fa5b9
357,45,"John McCarthy",2075,254,2075,3,F,Middleweight,10,M,Decision,Unanimous,3,5:00,http://ufcstats.com/fight-details/795c682c30d66c19
358,45,"Larry Landless",2403,4,2403,3,F,Heavyweight,12,M,Submission,"Toe Hold From Bottom",1,0:46,http://ufcstats.com/fight-details/a85a0831580696ff
359,45,"John McCarthy",3592,3088,3592,5,T,Heavyweight,12,M,KO/TKO,"Punch to Head At Distance",1,3:09,http://ufcstats.com/fight-details/334cd8572d9842cb
360,46,"John McCarthy",2093,3904,2093,3,F,Middleweight,10,M,KO/TKO,"Punches to Head From Guard",1,3:55,http://ufcstats.com/fight-details/863319fd2e711ffc
361,46,"James Warring",1150,754,1150,3,F,Lightweight,8,M,Decision,Unanimous,3,5:00,http://ufcstats.com/fight-details/363efd241750c23d
362,46,"John McCarthy",2126,3566,2126,3,F,Lightweight,8,M,Decision,Unanimous,3,5:00,http://ufcstats.com/fight-details/5a9657d4faeea2c5
363,46,"Larry Landless",1154,3622,1154,3,F,"Light Heavyweight",11,M,KO/TKO,"Punches to Head At Distance",1,2:40,http://ufcstats.com/fight-details/af59e32a5b3f6065
364,46,"John McCarthy",711,99,711,3,F,Heavyweight,12,M,KO/TKO,"Punches to Head In Clinch",2,1:46,http://ufcstats.com/fight-details/4e75ed154de637e2
365,46,"Jorge Alonso",3554,154,3554,3,F,Welterweight,9,M,Decision,Unanimous,3,5:00,http://ufcstats.com/fight-details/9f5f9173666ce1b7
366,46,"John McCarthy",3504,1988,3504,3,F,Welterweight,9,M,Submission,"Injury  
      Knee Injury",2,2:28,http://ufcstats.com/fight-details/808245ba66df5f1c
367,46,"John McCarthy",1610,3337,1610,5,T,Welterweight,9,M,Decision,Unanimous,5,5:00,http://ufcstats.com/fight-details/00a5e033391bf8df
368,47,"Larry Landless",3056,3644,3056,3,F,Heavyweight,12,M,"TKO - Doctor's Stoppage","Facial Cuts",2,4:24,http://ufcstats.com/fight-details/9fb822537c12d726
369,47,"John McCarthy",3836,2075,3836,3,F,Middleweight,10,M,KO/TKO,"Slam to   On Ground",1,1:56,http://ufcstats.com/fight-details/4f5ce22f8384d151
370,47,"Nelson Hamilton",982,3153,982,3,F,Lightweight,8,M,Decision,Unanimous,3,5:00,http://ufcstats.com/fight-details/be0507682d0ce713
371,47,"Nelson Hamilton",2403,3405,2403,3,F,Heavyweight,12,M,DQ,"Stomps to Head by Sims",1,2:55,http://ufcstats.com/fight-details/b5854feb57f40bb4
372,47,"John McCarthy",292,971,292,3,F,"Light Heavyweight",11,M,KO/TKO,"Knees to Head In Clinch",1,1:07,http://ufcstats.com/fight-details/400aa8a24e1d8997
373,47,"Larry Landless",2038,4,2038,3,F,Heavyweight,12,M,Submission,"Arm Triangle From Mount",1,1:59,http://ufcstats.com/fight-details/ffe629a5232a878b
374,47,"John McCarthy",732,2060,732,5,T,"Light Heavyweight",11,M,KO/TKO,"Punches to Head On Ground",3,2:39,http://ufcstats.com/fight-details/c83cba9573cca196
375,48,"Sean Brockmole",1150,3748,1150,3,F,Lightweight,8,M,KO/TKO,"Punch to Head At Distance",2,2:46,http://ufcstats.com/fight-details/10976fbb37d41c43
376,48,"Steve Mazzagatti",880,1670,880,3,F,Welterweight,9,M,Submission,"Armbar From Bottom Guard",3,2:04,http://ufcstats.com/fight-details/5ac9cf4ffc15ccca
377,48,"John McCarthy",3668,3556,3668,3,F,Lightweight,8,M,KO/TKO,"Punches to Head On Ground",1,2:45,http://ufcstats.com/fight-details/3cdcaa0a59dfb8ea
378,48,"Steve Mazzagatti",2753,3554,2753,3,F,Welterweight,9,M,Submission,"Kimura From Side Control",1,3:52,http://ufcstats.com/fight-details/e5b2782426c8109c
379,48,"Sean Brockmole",1154,869,1154,3,F,"Light Heavyweight",11,M,KO/TKO,"Knees to Body On Ground",1,3:35,http://ufcstats.com/fight-details/180128adae7897db
380,48,"Larry Landless",3047,2093,3047,3,F,Middleweight,10,M,Decision,Unanimous,3,5:00,http://ufcstats.com/fight-details/ac6fd4c78f0e3198
381,48,"John McCarthy",3592,2306,3592,5,T,Heavyweight,12,M,KO/TKO,"Punch to Head At Distance",1,1:54,http://ufcstats.com/fight-details/6e7eb1720bec2bca
382,48,"Larry Landless",165,2275,165,3,F,Heavyweight,12,M,KO/TKO,"Punches to Head At Distance",1,1:59,http://ufcstats.com/fight-details/fdb4ea9783c4452a
383,48,"John McCarthy",732,2700,732,5,T,"Light Heavyweight",11,M,Decision,Unanimous,5,5:00,http://ufcstats.com/fight-details/6cd107e2f5886b25
384,49,"Larry Landless",982,21,982,3,F,Lightweight,8,M,KO/TKO,"Punch to Head At Distance",2,2:14,http://ufcstats.com/fight-details/823d7037552a8907
385,49,"John McCarthy",3082,2065,3082,3,F,Middleweight,10,M,Submission,"Guillotine Choke From Bottom Guard",1,3:29,http://ufcstats.com/fight-details/61a211b4a7f942cd
386,49,"Larry Landless",3056,3088,3056,3,F,Heavyweight,12,M,Decision,Unanimous,3,5:00,http://ufcstats.com/fight-details/906d6f62fb7f9b19
387,49,"John McCarthy",1988,2137,1988,3,F,Welterweight,9,M,Decision,Unanimous,3,5:00,http://ufcstats.com/fight-details/7d2d327fd7580364
388,49,"Larry Landless",3622,254,3622,3,F,Middleweight,10,M,KO/TKO,"Elbows to Head From Mount",1,4:42,http://ufcstats.com/fight-details/b35adb9d047f5cd8
389,49,"John McCarthy",711,4,711,3,F,Heavyweight,12,M,"TKO - Doctor's Stoppage","Facial Cut",1,2:14,http://ufcstats.com/fight-details/d1d33be012417f75
390,49,"Larry Landless",2075,3836,2075,3,F,Middleweight,10,M,KO/TKO,"Punches to Head From Mount",3,4:23,http://ufcstats.com/fight-details/9f108233c7c787d9
391,49,"John McCarthy",1610,3708,1610,5,T,Welterweight,9,M,Submission,"Rear Naked Choke",1,3:54,http://ufcstats.com/fight-details/2cfde31b41b2220d
392,50,"Steve Mazzagatti",3319,774,3319,3,F,Lightweight,8,M,Decision,Unanimous,3,5:00,http://ufcstats.com/fight-details/5bdaa71a5daebcb5
393,50,"Larry Landless",3668,1150,3668,3,F,Lightweight,8,M,Decision,Majority,3,5:00,http://ufcstats.com/fight-details/fab7e4790b11de3c
394,50,"Steve Mazzagatti",3506,2753,3506,3,F,Welterweight,9,M,Decision,Unanimous,3,5:00,http://ufcstats.com/fight-details/1bc4996fa543a91a
395,50,"Mario Yamasaki",2527,3047,2527,3,F,Middleweight,10,M,Submission,"Triangle Choke From Bottom Guard",1,1:45,http://ufcstats.com/fight-details/bee02eaf332eb7f1
396,50,"John McCarthy",2403,3405,2403,3,F,Heavyweight,12,M,KO/TKO,"Punch to Head At Distance",2,4:21,http://ufcstats.com/fight-details/476548ca3d8cf0ee
397,50,"Mario Yamasaki",2806,1610,2806,5,T,Welterweight,9,M,Submission,"Rear Naked Choke",1,4:39,http://ufcstats.com/fight-details/4076a87092da5bfa
398,50,"Larry Landless",3810,2592,3810,3,F,Welterweight,9,M,Decision,Unanimous,3,5:00,http://ufcstats.com/fight-details/829146a45b3b236b
399,50,"John McCarthy",292,732,292,5,T,"Light Heavyweight",11,M,"TKO - Doctor's Stoppage","Facial Cut",1,0:49,http://ufcstats.com/fight-details/9cd343b9d5d87528
400,51,"Steve Mazzagatti",3566,444,3566,3,F,Lightweight,8,M,Submission,"Triangle Choke From Bottom Guard",1,3:31,http://ufcstats.com/fight-details/1d9d91f78334129d
401,51,"Herb Dean",3927,3345,3927,3,F,Heavyweight,12,M,KO/TKO,"Punches to Head From Back Control",1,4:40,http://ufcstats.com/fight-details/ba5e8c30d41559fd
402,51,"John McCarthy",1944,3405,1944,3,F,Heavyweight,12,M,KO/TKO,"Punch to Head At Distance",1,4:59,http://ufcstats.com/fight-details/3b8bfe14b0c297b2
403,51,"Steve Mazzagatti",880,1988,880,3,F,Welterweight,9,M,KO/TKO,"Punch to Head At Distance",2,1:31,http://ufcstats.com/fight-details/0374646197b8e0fa
404,51,"Mario Yamasaki",165,711,165,3,F,Heavyweight,12,M,KO/TKO,"Punches to Head At Distance",2,1:15,http://ufcstats.com/fight-details/0f23c5569204a69b
405,51,"Herb Dean",982,1150,982,3,F,Lightweight,8,M,Decision,Split,3,5:00,http://ufcstats.com/fight-details/268f0fcc45e1a6fe
406,51,"Mario Yamasaki",2137,1249,2137,3,F,Welterweight,9,M,Submission,"Bulldog Choke On Ground",2,1:55,http://ufcstats.com/fight-details/eecbc6c850e62d97
407,51,"John McCarthy",2060,2700,2060,3,F,"Light Heavyweight",11,M,KO/TKO,"Punches to Head At Distance",2,0:38,http://ufcstats.com/fight-details/2dbd0bc3e61ca00b
408,52,"Herb Dean",2903,3549,2903,3,F,Middleweight,10,M,Submission,"Scarf Hold From Side Control",2,1:05,http://ufcstats.com/fight-details/5cbd93c68225a845
409,52,"Steve Mazzagatti",3506,1533,3506,3,F,Welterweight,9,M,KO/TKO,"Punches to Head At Distance",1,1:42,http://ufcstats.com/fight-details/a40e421630b67e5c
410,52,"Mario Yamasaki",3319,2359,3319,3,F,Lightweight,8,M,Decision,Unanimous,3,5:00,http://ufcstats.com/fight-details/41222c4fab03d6f8
411,52,"John McCarthy",3622,254,3622,3,F,Middleweight,10,M,Decision,Unanimous,3,5:00,http://ufcstats.com/fight-details/7014356795515aea
412,52,"Steve Mazzagatti",1610,3810,1610,3,F,Welterweight,9,M,Decision,Unanimous,3,5:00,http://ufcstats.com/fight-details/5261874c58322b46
413,52,"Herb Dean",2403,3592,2403,5,T,Heavyweight,12,M,Submission,"Armbar From Bottom Guard
      Technical Submission",1,0:50,http://ufcstats.com/fight-details/dffef4343e822399
414,52,"Mario Yamasaki",3708,1425,3708,3,F,Welterweight,9,M,KO/TKO,"Punches to Head On Ground",1,4:15,http://ufcstats.com/fight-details/1201d192092baacf
415,52,"John McCarthy",3332,2038,3332,3,F,Heavyweight,12,M,KO/TKO,"Knee to Head In Clinch",1,1:26,http://ufcstats.com/fight-details/66eaf9f4a2cd67d8
416,53,"Steve Mazzagatti",982,3668,982,3,F,Lightweight,8,M,KO/TKO,"Kick to Head At Distance",1,4:32,http://ufcstats.com/fight-details/c9c5b2507c6be9e3
417,53,"Mario Yamasaki",2753,880,2753,3,F,Welterweight,9,M,Decision,Split,3,5:00,http://ufcstats.com/fight-details/6996eb7755709945
418,53,"Herb Dean",2137,1707,2137,3,F,Welterweight,9,M,Submission,"Guillotine Choke From Bottom Half Guard",2,1:17,http://ufcstats.com/fight-details/5db23cc876db1619
419,53,"John McCarthy",990,1944,990,3,F,Heavyweight,12,M,KO/TKO,"Punch to Head In Clinch",1,1:14,http://ufcstats.com/fight-details/c74eef9b337602c6
420,53,"Herb Dean",3648,2075,3648,3,F,Middleweight,10,M,KO/TKO,"Punch to Head At Distance",1,0:24,http://ufcstats.com/fight-details/6e2254b4fd39ce40
421,53,"Mario Yamasaki",2060,3913,2060,3,F,"Light Heavyweight",11,M,KO/TKO,"Punch to Head At Distance",1,4:05,http://ufcstats.com/fight-details/ebd51f898209c4c8
422,53,"Steve Mazzagatti",3033,906,3033,3,F,Middleweight,10,M,KO/TKO,"Elbows to Head From Half Guard
      Submission to Strikes",2,3:39,http://ufcstats.com/fight-details/719f21fdb310fcfb
423,53,"John McCarthy",732,292,732,5,T,"Light Heavyweight",11,M,"TKO - Doctor's Stoppage","Facial Cut",3,5:00,http://ufcstats.com/fight-details/977e56ada4acc596
424,54,"Mario Yamasaki",2132,971,2132,3,F,"Light Heavyweight",11,M,KO/TKO,"Punch to Head At Distance",2,0:33,http://ufcstats.com/fight-details/dc9b52352dca15ef
425,54,"Herb Dean",3183,1176,3183,3,F,Middleweight,10,M,Submission,"Other - Lock From Back Control
      Body Triangle",1,1:36,http://ufcstats.com/fight-details/0d15b14d1215c853
426,54,"John McCarthy",3622,1988,3622,3,F,Middleweight,10,M,Submission,"Triangle Choke From Bottom Guard",1,2:22,http://ufcstats.com/fight-details/929fb67b49eaa405
427,54,"Herb Dean",3708,3810,3708,3,F,Welterweight,9,M,KO/TKO,"Elbows to Head From Half Guard",2,2:11,http://ufcstats.com/fight-details/1a471a1bff47a960
428,54,"John McCarthy",1610,3506,1610,5,T,Welterweight,9,M,Submission,"Armbar From Side Control",1,4:59,http://ufcstats.com/fight-details/6f21a27075f0695c
429,54,"Mario Yamasaki",1154,3047,1154,3,F,Middleweight,10,M,Submission,"Armbar From Mount",3,4:28,http://ufcstats.com/fight-details/b76a722dd429612e
430,54,"John McCarthy",2700,727,2700,3,F,"Light Heavyweight",11,M,Decision,Unanimous,3,5:00,http://ufcstats.com/fight-details/9422b3caf780a995
431,55,"John McCarthy",880,1098,880,3,F,Welterweight,9,M,KO/TKO,"Punches to Head On Ground",1,4:40,http://ufcstats.com/fight-details/e8196de20c4a969a
432,55,"Mario Yamasaki",2753,2137,2753,3,F,Welterweight,9,M,Decision,Unanimous,3,5:00,http://ufcstats.com/fight-details/45a52e065b73ecba
433,55,"Steve Mazzagatti",2093,2975,2093,3,F,Middleweight,10,M,"TKO - Doctor's Stoppage","Scalp Cut",1,5:00,http://ufcstats.com/fight-details/e30780438191654f
434,55,"Herb Dean",1944,1649,1944,3,F,Heavyweight,12,M,KO/TKO,"Punch to Head At Distance",1,1:55,http://ufcstats.com/fight-details/48189cad0c11ff63
435,55,"Steve Mazzagatti",474,990,474,3,F,Heavyweight,12,M,KO/TKO,"Punches to Head At Distance",1,3:34,http://ufcstats.com/fight-details/c91ef06766009965
436,55,"Herb Dean",3622,3648,3622,5,T,Middleweight,10,M,KO/TKO,"Punches to Head From Half Guard",1,4:35,http://ufcstats.com/fight-details/7cfc8649d07b704c
437,55,"John McCarthy",165,3592,165,5,T,Heavyweight,12,M,Submission,"Ankle Lock After Drop to Ground",1,0:47,http://ufcstats.com/fight-details/dae856cb00cf5163
438,55,"Mario Yamasaki",3308,254,3308,3,F,Middleweight,10,M,Submission,"Guillotine Choke From Bottom Half Guard",3,4:19,http://ufcstats.com/fight-details/987b6b4f7825e40e
439,55,"John McCarthy",2700,292,2700,3,F,"Light Heavyweight",11,M,Decision,Split,3,5:00,http://ufcstats.com/fight-details/4fb2c181e8fd5910
440,56,"Steve Mazzagatti",1806,2949,1806,3,F,Welterweight,9,M,KO/TKO,"Punches to Head On Ground",1,1:40,http://ufcstats.com/fight-details/17affee2c796c225
441,56,"Herb Dean",3585,3288,3585,3,F,Middleweight,10,M,KO/TKO,"Punch to Head At Distance",1,0:20,http://ufcstats.com/fight-details/74f757bacb86a71c
442,56,"John McCarthy",2935,3409,2935,3,F,Middleweight,10,M,KO/TKO,"Punches to Head At Distance",1,3:17,http://ufcstats.com/fight-details/f434775e97920d95
443,56,"Steve Mazzagatti",1908,3217,1908,3,F,Middleweight,10,M,KO/TKO,"Punches to Head From Half Guard",1,4:21,http://ufcstats.com/fight-details/61733e5f00f4e194
444,56,"Herb Dean",2002,3654,2002,3,F,Middleweight,10,M,KO/TKO,"Punches to Head From Half Guard",1,1:35,http://ufcstats.com/fight-details/a3b268798d3ab216
445,56,"John McCarthy",1555,3481,1555,3,F,"Light Heavyweight",11,M,Decision,Unanimous,3,5:00,http://ufcstats.com/fight-details/ddb950831580a5fe
446,56,"Steve Mazzagatti",3199,1129,3199,3,T,Middleweight,10,M,KO/TKO,"Punches to Head From Mount",1,2:49,http://ufcstats.com/fight-details/d172d88fbeb8c6a8
447,56,"Herb Dean",1373,379,1373,3,T,"Light Heavyweight",11,M,Decision,Unanimous,3,5:00,http://ufcstats.com/fight-details/4705a4db0bf1edcd
448,56,"John McCarthy",1154,3332,1154,3,F,"Light Heavyweight",11,M,KO/TKO,"Punches to Head On Ground",1,2:42,http://ufcstats.com/fight-details/c50a3025d1519fc8
449,57,"Steve Mazzagatti",3772,2225,3772,3,F,Heavyweight,12,M,Decision,Unanimous,3,5:00,http://ufcstats.com/fight-details/5e1b0e52d2bb1b5c
450,57,"Herb Dean",906,727,906,3,F,Middleweight,10,M,Submission,"Rear Naked Choke",3,2:35,http://ufcstats.com/fight-details/026e64f70e319e00
451,57,"Mario Yamasaki",3183,3033,3183,3,F,Middleweight,10,M,Submission,"Triangle Choke From Bottom Guard",1,2:42,http://ufcstats.com/fight-details/5d72fa4562b13f7b
452,57,"John McCarthy",3506,2384,3506,3,F,Welterweight,9,M,Decision,Unanimous,3,5:00,http://ufcstats.com/fight-details/f4e6f8223d0816fe
453,57,"Steve Mazzagatti",2075,2132,2075,3,F,Middleweight,10,M,Submission,"Guillotine Choke After Drop to Half Guard",2,3:13,http://ufcstats.com/fight-details/36dbc3cee586e53d
454,57,"Mario Yamasaki",1610,3708,1610,5,T,Welterweight,9,M,Submission,"Rear Naked Choke",1,4:05,http://ufcstats.com/fight-details/b1b66441acc5e8df
455,57,"Herb Dean",3455,3958,3455,3,F,"Light Heavyweight",11,M,Submission,"Armbar From Bottom Guard",2,0:24,http://ufcstats.com/fight-details/cb8e91f8b9f0e24f
456,57,"John McCarthy",2060,732,2060,5,T,"Light Heavyweight",11,M,KO/TKO,"Punch to Head At Distance",1,2:06,http://ufcstats.com/fight-details/2ae8623ef4156105
457,58,"Mario Yamasaki",880,2667,880,3,F,Welterweight,9,M,KO/TKO,"Punch to Head At Distance",1,1:24,http://ufcstats.com/fight-details/07886c772e37d5de
458,58,"John McCarthy",2093,2291,2093,3,F,Middleweight,10,M,KO/TKO,"Spinning Back Kick Body",2,2:10,http://ufcstats.com/fight-details/e5261884b0a0ed39
459,58,"Mario Yamasaki",2935,573,2935,3,F,Middleweight,10,M,KO/TKO,"Punches to Head At Distance",1,2:37,http://ufcstats.com/fight-details/ca3230227ee700b7
